Payment Type,Month,Tips average amount	
Undefined,2020-01,0.07	
Credit card,2020-01,2.99	
Cash,2020-01,0.0	
No charge,2020-01,-0.0	
Dispute,2020-01,0.02	
Unknown,2020-01,0.0	
Undefined,2020-02,0.07	
Credit card,2020-02,2.97	
Cash,2020-02,0.0	
No charge,2020-02,-0.0	
Dispute,2020-02,0.02	
Undefined,2020-03,0.24	
Credit card,2020-03,2.9	
Cash,2020-03,0.0	
No charge,2020-03,-0.0	
Dispute,2020-03,-0.04	
Undefined,2020-04,1.71	
Credit card,2020-04,2.52	
Cash,2020-04,0.0	
No charge,2020-04,0.01	
Dispute,2020-04,0.01	
Undefined,2020-05,0.78	
Credit card,2020-05,2.59	
Cash,2020-05,0.0	
No charge,2020-05,-0.0	
Dispute,2020-05,0.01	
Undefined,2020-06,1.66	
Credit card,2020-06,2.74	
Cash,2020-06,0.0	
No charge,2020-06,-0.0	
Dispute,2020-06,0.03	
Unknown,2020-06,0.0	
Undefined,2020-07,2.05	
Credit card,2020-07,2.65	
Cash,2020-07,0.0	
No charge,2020-07,-0.0	
Dispute,2020-07,0.01	
Undefined,2020-08,2.15	
Credit card,2020-08,2.66	
Cash,2020-08,0.0	
No charge,2020-08,-0.02	
Dispute,2020-08,0.0	
Unknown,2020-08,0.0	
Undefined,2020-09,2.4	
Credit card,2020-09,2.65	
Cash,2020-09,0.0	
No charge,2020-09,-0.0	
Dispute,2020-09,0.01	
Undefined,2020-10,2.41	
Credit card,2020-10,2.63	
Cash,2020-10,0.0	
No charge,2020-10,-0.0	
Dispute,2020-10,0.0	
Undefined,2020-11,2.51	
Credit card,2020-11,2.62	
Cash,2020-11,0.0	
No charge,2020-11,-0.0	
Dispute,2020-11,-0.0	
Unknown,2020-11,0.0	
Undefined,2020-12,2.42	
Credit card,2020-12,2.65	
Cash,2020-12,0.0	
No charge,2020-12,-0.0	
Dispute,2020-12,0.02	
