Cash,2020-01-31,15.76,5.9
Credit card,2020-01-31,19.92,7.09
Dispute,2020-01-31,-0.04,-0.02
No charge,2020-01-31,10.55,4.23
Cash,2020-01-30,15.73,5.87
Credit card,2020-01-30,19.78,7.1
Dispute,2020-01-30,-0.52,-0.23
No charge,2020-01-30,8.94,3.45
Cash,2020-01-29,15.24,6.01
Credit card,2020-01-29,19.5,7.16
Dispute,2020-01-29,-0.66,-0.29
No charge,2020-01-29,10.48,4.4
Cash,2020-01-28,15.17,5.86
Credit card,2020-01-28,19.15,7.09
Dispute,2020-01-28,0.37,0.15
No charge,2020-01-28,9.55,3.99
Cash,2020-01-27,15.58,5.54
Credit card,2020-01-27,19.89,6.73
Dispute,2020-01-27,1.0,0.34
No charge,2020-01-27,9.79,4.08
Cash,2020-01-26,15.61,5.29
Credit card,2020-01-26,19.78,6.31
Dispute,2020-01-26,0.01,0.0
No charge,2020-01-26,10.18,3.89
Cash,2020-01-25,14.68,5.84
Credit card,2020-01-25,18.03,7.03
Dispute,2020-01-25,-2.02,-0.92
No charge,2020-01-25,8.6,3.95
Cash,2020-01-24,15.53,5.88
Credit card,2020-01-24,19.7,7.04
Dispute,2020-01-24,1.04,0.4
No charge,2020-01-24,10.54,4.23
Cash,2020-01-23,15.63,5.85
Credit card,2020-01-23,19.78,7.03
Dispute,2020-01-23,0.7,0.26
No charge,2020-01-23,10.55,4.3
Cash,2020-01-22,15.33,5.93
Credit card,2020-01-22,19.42,7.13
Dispute,2020-01-22,2.15,0.84
No charge,2020-01-22,10.33,4.09
Cash,2020-01-21,15.42,5.91
Credit card,2020-01-21,19.74,6.99
Dispute,2020-01-21,-1.3,-0.5
No charge,2020-01-21,9.66,3.86
Unknown,2020-01-21,0.0,""
Cash,2020-01-20,15.39,5.19
Credit card,2020-01-20,20.37,6.16
Dispute,2020-01-20,1.01,0.33
No charge,2020-01-20,9.68,3.5
Cash,2020-01-19,15.36,5.22
Credit card,2020-01-19,19.08,6.37
Dispute,2020-01-19,-0.15,-0.06
No charge,2020-01-19,9.23,3.14
Cash,2020-01-18,14.87,5.7
Credit card,2020-01-18,18.34,6.84
Dispute,2020-01-18,1.73,0.58
No charge,2020-01-18,8.75,3.74
Cash,2020-01-17,15.43,5.94
Credit card,2020-01-17,19.7,7.01
Dispute,2020-01-17,-0.34,-0.15
No charge,2020-01-17,10.65,4.22
Cash,2020-01-16,15.65,5.88
Credit card,2020-01-16,19.63,7.09
Dispute,2020-01-16,3.03,1.17
No charge,2020-01-16,10.05,4.16
Cash,2020-01-15,15.43,5.84
Credit card,2020-01-15,19.8,6.96
Dispute,2020-01-15,1.38,0.65
No charge,2020-01-15,9.57,4.35
Cash,2020-01-14,15.41,5.8
Credit card,2020-01-14,19.62,7.05
Dispute,2020-01-14,1.42,0.66
No charge,2020-01-14,9.23,4.09
Cash,2020-01-13,15.69,5.63
Credit card,2020-01-13,20.16,6.83
Dispute,2020-01-13,2.18,0.83
No charge,2020-01-13,12.3,4.5
Cash,2020-01-12,15.57,5.19
Credit card,2020-01-12,19.96,6.31
Dispute,2020-01-12,1.46,0.54
No charge,2020-01-12,11.13,4.1
Cash,2020-01-11,15.14,5.57
Credit card,2020-01-11,18.96,6.77
Dispute,2020-01-11,0.4,0.15
No charge,2020-01-11,8.59,3.99
Cash,2020-01-10,15.64,5.81
Credit card,2020-01-10,19.76,6.96
Dispute,2020-01-10,-0.27,-0.11
No charge,2020-01-10,9.89,4.29
Cash,2020-01-09,15.55,5.82
Credit card,2020-01-09,19.42,7.08
Dispute,2020-01-09,2.27,0.94
No charge,2020-01-09,8.28,3.66
Cash,2020-01-08,15.29,5.71
Credit card,2020-01-08,18.95,6.97
Dispute,2020-01-08,2.67,0.98
No charge,2020-01-08,10.0,4.02
Cash,2020-01-07,15.43,5.59
Credit card,2020-01-07,19.0,6.88
Dispute,2020-01-07,2.91,0.99
No charge,2020-01-07,9.9,3.77
Cash,2020-01-06,15.6,5.46
Credit card,2020-01-06,20.02,6.59
Dispute,2020-01-06,3.42,1.27
No charge,2020-01-06,10.25,3.81
Cash,2020-01-05,15.61,5.13
Credit card,2020-01-05,20.39,6.04
Dispute,2020-01-05,0.93,0.31
No charge,2020-01-05,10.39,3.71
Cash,2020-01-04,15.25,5.41
Credit card,2020-01-04,19.06,6.43
Dispute,2020-01-04,-0.24,-0.09
No charge,2020-01-04,11.57,4.24
Cash,2020-01-03,15.92,5.53
Credit card,2020-01-03,19.52,6.62
Dispute,2020-01-03,2.79,1.03
No charge,2020-01-03,9.22,3.61
Cash,2020-01-02,16.54,5.36
Credit card,2020-01-02,20.85,6.3
Dispute,2020-01-02,0.05,0.02
No charge,2020-01-02,10.3,3.7
Cash,2020-01-01,16.44,5.06
Credit card,2020-01-01,21.52,5.98
Dispute,2020-01-01,1.86,0.68
No charge,2020-01-01,10.0,3.58
